interaction_id,drug_a_id,drug_b_id,severity,mechanism,effect,Safer_alternative,rationale,reference
0,0,84,Major,"Increased bleeding risk (antiplatelet effect, GI irritation)",Increased risk of serious GI bleeding,Acetaminophen (Paracetamol),No antiplatelet effect; safer for bleeding risk.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., Micromedex"
1,1,127,Major,CYP3A4 inhibition → increased statin levels → myopathy,Risk of severe muscle toxicity (rhabdomyolysis),Azithromycin or Amoxicillin,Weaker CYP3A4 inhibition; different antibiotic class.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., FDA Label"
2,2,128,Major,Increased serotonin levels,Increased risk of serotonin syndrome,Morphine or Oxycodone (with caution),Lower serotonergic activity.,FDA Adverse Event Reporting
3,3,105,Major,CYP2C19 inhibition → decreased clopidogrel efficacy,"Reduced antiplatelet effect, increased thrombosis risk",Pantoprazole or Famotidine,Less potent CYP2C19 inhibition.,Clinical Pharmacokinetics
4,4,39,Major,P-gp inhibition → increased digoxin levels,"Increased risk of digoxin toxicity (nausea, arrhythmia)",Amlodipine,No significant effect on P-gp.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., Goodman & Gilman"
5,5,84,Major,Decreased renal lithium clearance → increased lithium levels,Increased risk of lithium toxicity,Acetaminophen,Does not affect lithium clearance.,Acta Psychiatr Scand
6,6,25,Major,CYP2D6 inhibition → decreased conversion to morphine,Lack of analgesic efficacy,Morphine,Bypasses metabolic conversion.,Clin Pharmacol Ther
7,7,129,Major,CYP1A2 inhibition → increased theophylline levels,Increased risk of theophylline toxicity,Levofloxacin or Cefuroxime,Lower interaction potential.,Chest Journal
8,8,0,Major,CYP induction → decreased warfarin levels,Reduced anticoagulant efficacy,Monitor INR closely or choose different antibiotic,Requires aggressive warfarin dose adjustment.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
9,9,130,Major,Profound hypotension,"Risk of syncope, cardiovascular events",Alternative angina treatment,Contraindicated combination.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., NIH"
10,10,131,Major,Inhibits lamotrigine metabolism,Increased risk of serious rash (Stevens-Johnson syndrome),Slow lamotrigine titration,Requires very slow dose escalation.,Epilepsia Journal
11,0,69,Major,CYP2C9 inhibition → increased warfarin levels,Increased bleeding risk,Terbinafine or topical antifungal,Lower interaction potential.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
12,11,132,Major,CYP3A4 induction → decreased cyclosporine levels,Risk of organ rejection,Avoid herbal product,Patient education is critical.,JAMA
13,12,84,Major,Decreased methotrexate renal excretion,Increased methotrexate levels → toxicity,Acetaminophen,Does not affect methotrexate excretion.,Arthritis & Rheumatism
14,13,133,Major,CYP2D6 inhibition → decreased conversion to active endoxifen,Reduced efficacy of tamoxifen therapy,Venlafaxine or Sertraline,Less potent CYP2D6 inhibition.,J Clin Oncol
15,14,134,Major,XO inhibition → increased azathioprine levels,"Myelosuppression, increased infection risk",Febuxostat (with caution) or adjust doses,Different metabolic pathway (monitor closely).,Ann Rheum Dis
16,0,135,Major,CYP2C9 inhibition + other mechanisms → increased warfarin effect,Increased bleeding risk,Amoxicillin or Cefalexin,Lower interaction potential.,Arch Intern Med
17,15,102,Major,CYP3A4 inhibition → increased quetiapine levels,Increased risk of quetiapine toxicity,Terbinafine or topical antifungal,Lower interaction potential.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
18,16,136,Major,CYP induction → decreased contraceptive levels,Contraceptive failure,Non-hormonal IUD or higher-dose OC,Requires a contraceptive method unaffected by enzymes.,Contraception Journal
19,0,46,Major,CYP2C9 inhibition → increased warfarin levels,Increased bleeding risk,Reduce warfarin dose by 30-50%,Requires proactive warfarin dose reduction.,NEJM
20,17,137,Major,Increased risk of contrast-induced lactic acidosis,Potential renal impairment and metabolic acidosis,Withhold metformin before/after procedure,Standard procedural management.,ACR Manual
21,18,138,Major,CYP3A4 inhibition → increased tacrolimus levels,Increased risk of tacrolimus toxicity,Reduce tacrolimus dose by 2/3; monitor levels,Requires aggressive dose reduction and monitoring.,Ther Drug Monit
22,19,128,Major,Increased serotonin levels,Increased risk of serotonin syndrome and seizures,Morphine,Lower serotonergic activity.,CNS Drugs
23,20,127,Major,P-gp/CYP3A4 inhibition → increased colchicine levels,Increased risk of colchicine toxicity,Azithromycin,Weaker inhibition of relevant pathways.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., FDA Alert"
24,21,128,Major,Increased serotonin levels,Increased risk of serotonin syndrome,Oxycodone,Lower serotonergic activity.,FDA Adverse Event Reporting
25,0,42,Major,CYP2C9 inhibition → increased warfarin levels,Increased bleeding risk,Sertraline or Citalopram,Less potent CYP2C9 inhibition.,BMJ
26,5,56,Major,Decreased renal lithium clearance → increased lithium levels,Increased risk of lithium toxicity,Loop Diuretic (Furosemide),Less effect on lithium clearance.,Am J Psychiatry
27,22,136,Major,CYP induction → decreased risperidone levels,Reduced antipsychotic efficacy,Valproic Acid,Not a CYP inducer.,J Clin Psychopharmacol
28,23,122,Major,Antagonism of bronchodilator effect,"Bronchospasm, reduced asthma control",Cardioselective Beta Blocker (Atenolol),Less bronchoconstrictive effect.,Am J Respir Crit Care Med
29,24,37,Major,Increased serotonin levels,Increased risk of serotonin syndrome,Guaifenesin (expectorant),No serotonergic activity.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
30,25,133,Major,CYP2D6 inhibition → decreased conversion to active endoxifen,Reduced efficacy of tamoxifen therapy,Venlafaxine,Less potent CYP2D6 inhibition.,J Natl Cancer Inst
31,26,118,Major,CYP3A4 inhibition → increased statin levels,Increased risk of myopathy,Rosuvastatin,Not primarily metabolized by CYP3A4.,Clin Pharmacol Ther
32,27,139,Major,Dopamine receptor antagonism → decreased levodopa efficacy,Worsening Parkinson's symptoms,Domperidone (if available),Does not cross blood-brain barrier.,Mov Disord
33,28,140,Major,Decreased valproate levels,Loss of seizure control,"Alternative antibiotic (e.g., Ceftazidime)",No significant interaction.,Epilepsy Behav
34,29,2,Major,MAO inhibition + SSRI → increased serotonin levels,Increased risk of serotonin syndrome,Vancomycin (if for MRSA),No MAO inhibition.,FDA Alert
35,30,127,Major,CYP3A4 inhibition → increased pimozide levels,"QT prolongation, arrhythmia risk",Azithromycin,Weaker CYP3A4 inhibition.,FDA Black Box Warning
36,31,129,Major,CYP1A2 inhibition → increased tizanidine levels,Increased risk of tizanidine toxicity,Levofloxacin or Baclofen,Lower interaction potential.,Clin Pharmacol Ther
37,32,25,Major,CYP2D6 inhibition → increased thioridazine levels,"QT prolongation, arrhythmia risk",Sertraline,Less potent CYP2D6 inhibition.,FDA Warning
38,33,141,Major,Pharmacodynamic antagonism,Decreased donepezil efficacy,Alternative for secretions,Directly opposing mechanisms.,J Am Geriatr Soc
39,34,90,Major,Increased risk of benign intracranial hypertension,"Headache, visual changes, papilledema",Azithromycin,Lower risk of this interaction.,J Am Acad Dermatol
40,35,136,Major,CYP3A4/P-gp induction → decreased rivaroxaban levels,Reduced anticoagulant efficacy,Valproic Acid or Lamotrigine,Not a strong inducer.,J Thromb Haemost
41,36,102,Major,CYP3A4 inhibition → increased alfuzosin levels,"Hypotension, dizziness",Terbinafine or Tamsulosin,Lower interaction potential.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
42,37,142,Major,Increased serotonin levels,Serotonin syndrome & excitatory reaction,Morphine,Lower serotonergic activity.,Psychosomatics
43,9,143,Major,CYP3A4 inhibition → increased sildenafil levels,Increased risk of sildenafil toxicity,Use lowest possible sildenafil dose (25mg),Requires significant dose reduction.,FDA Label
44,4,144,Major,P-gp inhibition → increased digoxin levels,Increased risk of digoxin toxicity,"Other antiarrhythmics (e.g., Procainamide)",Different mechanism.,Goodman & Gilman
45,38,145,Major,Additive hypotension,"Severe hypotension, cardiovascular collapse",Alternative antianginal,Contraindicated combination.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
46,0,146,Major,Additive anticoagulant effect,Increased bleeding risk,Use one anticoagulant only,Avoid concurrent use.,CHEST Guidelines
47,39,78,Major,Additive bradycardia and hypotension,"Severe bradycardia, syncope",Monitor HR/BP; reduce dose,Requires close monitoring.,Am J Cardiol
48,0,147,Major,Additive anticoagulant effect,Increased bleeding risk,Use one anticoagulant only,Avoid concurrent use.,CHEST Guidelines
49,5,148,Major,Decreased renal lithium clearance → increased lithium levels,Increased risk of lithium toxicity,"ARB (e.g., Losartan) or CCB",Less effect on lithium clearance.,Am J Psychiatry
50,40,129,Major,CYP1A2 inhibition → increased clozapine levels,Increased risk of clozapine toxicity,Levofloxacin,Lower interaction potential.,J Clin Psychiatry
51,41,149,Major,Increased risk of nephrotoxicity & hyperkalemia,"Acute kidney injury, dangerous hyperkalemia",Acetaminophen,Does not affect renal blood flow.,BMJ
52,42,22,Major,CYP2D6 inhibition → increased risperidone levels,Increased risk of risperidone toxicity,Sertraline or Citalopram,Less potent CYP2D6 inhibition.,J Clin Psychopharmacol
53,43,106,Major,CYP induction → decreased methadone levels,Opioid withdrawal symptoms,Valproic Acid or Levetiracetam,Not a CYP inducer.,JAMA
54,18,132,Major,CYP3A4 induction → decreased tacrolimus levels,Risk of organ rejection,Avoid herbal product,Patient education is critical.,Transplantation
55,44,99,Major,CYP3A4 inhibition → increased cisapride levels,"QT prolongation, arrhythmia risk",Metoclopramide or Domperidone,Different metabolic pathway.,FDA Warning
56,45,133,Major,CYP2D6 inhibition → decreased conversion to active endoxifen,Reduced efficacy of tamoxifen therapy,Venlafaxine,Less potent CYP2D6 inhibition.,J Clin Oncol
57,46,1,Major,CYP3A4 inhibition → increased statin levels,Increased risk of myopathy,Pravastatin or Rosuvastatin,Not metabolized by CYP3A4.,Circulation
58,0,150,Major,CYP2C9 inhibition → increased warfarin levels,Increased bleeding risk,"LMWH (e.g., enoxaparin)","Predictable anticoagulation, no interaction.",J Clin Oncol
59,21,29,Major,MAO inhibition + SSRI → increased serotonin levels,Increased risk of serotonin syndrome,Tedizolid or Vancomycin,Lower MAO inhibition potential.,FDA Alert
60,8,39,Major,CYP induction → decreased verapamil levels,Reduced antihypertensive efficacy,Amlodipine,Not metabolized by inducible enzymes.,Clin Pharmacol Ther
61,0,151,Major,CYP induction → decreased warfarin levels,Reduced anticoagulant efficacy,Cefazolin,Lower interaction potential.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
62,47,37,Major,Increased serotonin levels,Serotonin syndrome & hypertensive crisis,Mirtazapine,"Different mechanism, safer profile.",Psychopharmacology
63,26,152,Moderate,Weak CYP3A4 inhibition may slightly increase atorvastatin levels,Monitor for muscle pain,Pravastatin or Rosuvastatin,Not metabolized by CYP3A4 pathway,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
64,2,153,Moderate,Increased antiplatelet effect,May slightly increase risk of bleeding,Acetaminophen,No antiplatelet effect,Micromedex
65,48,154,Moderate,Binding in GI tract,Decreased absorption of levothyroxine,Space doses by 4+ hours,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., AACE Guidelines"
66,17,155,Moderate,May increase metformin levels,Increased risk of lactic acidosis; monitor,Other antibiotics if possible,Lower interaction potential with other classes,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
68,0,156,Moderate,Regular high doses may increase INR,Potential increased bleeding risk with high doses,Use lowest effective dose,Generally safe at low-to-moderate doses,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
69,13,128,Moderate,Potential increased serotonin levels,Risk of serotonin syndrome; monitor,Morphine or other opioids,Lower serotonergic activity,FDA Adverse Event Reporting
70,49,1,Moderate,May slightly increase simvastatin levels,Monitor for muscle pain,Pravastatin or Rosuvastatin,Not metabolized by CYP3A4,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
71,4,105,Moderate,May slightly increase digoxin levels,Monitor for toxicity,Pantoprazole,Less interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
72,19,84,Moderate,May increase risk of bleeding,Monitor for bleeding signs,Acetaminophen,No antiplatelet effect,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
73,50,107,Moderate,Additive hyperkalemia risk,Monitor potassium levels,Loop diuretic instead of spironolactone,Promotes potassium excretion,Micromedex
74,51,157,Moderate,Additive effect on heart rate,Risk of bradycardia,Monitor HR/BP; reduce dose,Requires close hemodynamic monitoring,Am J Cardiol
75,15,158,Moderate,Additive CNS effects,"Increased risk of drowsiness, dizziness",Monitor or adjust doses,Careful titration needed,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
76,21,159,Moderate,May increase risk of bleeding,Monitor for bleeding signs,Acetaminophen,No antiplatelet effect,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
77,52,113,Moderate,CYP3A4 inhibition may increase alprazolam levels,Increased sedation,Famotidine or ranitidine,Less potent CYP inhibition,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
78,53,0,Moderate,May increase INR,Monitor coagulation parameters,Sertraline or citalopram,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
79,54,50,Moderate,Potential for first-dose hypotension,Monitor blood pressure,Start with lower doses,Gradual titration reduces risk,NEJM
80,55,160,Moderate,Additive CNS depression,"Increased dizziness, drowsiness",Monitor or adjust doses,Careful titration needed,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
81,56,84,Moderate,NSAIDs may decrease diuretic efficacy,Monitor for edema,Acetaminophen,Does not inhibit prostaglandins,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
82,57,161,Moderate,Additive effect on glucose control,Increased risk of hypoglycemia,Adjust doses carefully,Requires careful monitoring,Diabetes Care
84,58,84,Moderate,NSAIDs may decrease antihypertensive efficacy,Monitor blood pressure,Acetaminophen,No effect on blood pressure,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
85,59,162,Moderate,May increase risk of renal stone formation,Monitor renal function,Alternative treatments if available,Lower risk with other options,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
86,60,163,Moderate,Antacids may decrease nitrofurantoin absorption,Reduced antibiotic efficacy,Space doses by 2+ hours,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
87,61,79,Moderate,Additive CNS depression,Increased sedation,Use lower doses; monitor closely,Requires cautious dosing,Psychopharmacology
88,62,0,Moderate,May slightly increase INR,Monitor coagulation parameters,H2 blockers if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
89,15,42,Moderate,May increase quetiapine levels,Monitor for drowsiness,Sertraline or citalopram,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
90,63,0,Moderate,May slightly increase INR,Monitor coagulation parameters,Famotidine,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
91,2,164,Moderate,May increase tolbutamide levels,Monitor for hypoglycemia,Other antidepressants if needed,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
92,64,106,Moderate,May alter levels of both drugs,Monitor drug levels if possible,Alternative antidepressant,More predictable pharmacokinetics,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
93,65,165,Moderate,Additive hyperkalemia risk,Monitor potassium levels,Alternative antihypertensive combination,Lower hyperkalemia risk,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
94,66,129,Moderate,May increase zolpidem levels,Increased risk of drowsiness,Levofloxacin,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
95,67,37,Moderate,Increased risk of serotonin syndrome,Monitor for serotonin syndrome symptoms,Mirtazapine,"Different mechanism, safer profile",Psychopharmacology
96,45,27,Moderate,May increase risk of hypertension and side effects,Monitor blood pressure and Parkinson's symptoms,Other antidepressants if needed,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
98,68,5,Moderate,May increase lithium levels,Monitor lithium levels,Acetaminophen,Does not affect lithium levels,Acta Psychiatr Scand
99,53,29,Moderate,Potential increased risk of serotonin syndrome,Monitor for serotonin syndrome symptoms,Vancomycin if appropriate,No MAO inhibition,FDA Alert
100,69,166,Moderate,May increase alfentanil levels,Increased risk of respiratory depression,Other antifungals if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
